MC1ID,Paid Order Exists,Try Exists,Total Visits,New Visitors,Return Visitors,Enter PDP from Office.com,Enter PDP from Store,Enter PDP from O365 Web,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),Link Clicks on OverviewTab,Link Clicks on TechSpecsTab,Link Clicks on ReviewTab,Link Clicks on FAQTab,Link Clicks on AddtoCartButton,Link Clicks on Trial link
0308839aa4354cc6a99a8d6a3600f059,0,0,1,0,1,0,1,0,59,59,2,0,0,0,0,0,0
625d301b44764450a057cf8ac12ebde8,0,0,1,0,1,0,1,0,57,57,0,0,0,0,0,0,0
7ca9dfa7c63e4d01ad0f17372e08d39d,0,0,1,0,1,0,1,0,55,55,18,0,0,0,0,0,0
5568652fe8c549dd88eb698d24ff7867,0,0,1,0,1,0,1,0,55,55,1,0,0,0,0,0,0
7f2259430ede49a4bb9ac4bd9420fa0d,0,0,1,0,1,0,1,0,52,52,3,0,0,0,0,0,0
6f8428eb97414d8cb0f69ef65c2bc2e9,0,0,1,0,1,0,1,0,52,52,2,0,0,0,0,0,0
33a09de2e61c449596716bd4c47b06e4,0,0,1,0,1,0,1,0,51,51,7,0,0,0,0,0,0
a165b2af04764d62b98b48b301fd81be,0,0,1,0,1,0,1,0,50,50,3,0,0,0,0,0,0
4c1e7d04755b4c68b867b7eb28c751c3,0,0,1,0,1,0,1,0,49,49,11,0,0,0,0,0,0
b4f4cb29416141028ac44ceb775e1ea6,0,0,1,0,1,0,1,0,49,49,7,0,0,0,0,0,0
a38082eb86c8495e8ec8bf3783c565b7,0,0,1,0,1,0,1,0,47,47,4,0,0,0,0,1,0
bd11d59d31464c0497d61bea194c1472,0,0,1,0,1,0,1,0,47,15.66666667,5,0,0,0,0,0,0
7065b2d708334a86a0f143ff720cfdea,0,0,1,0,1,0,1,0,44,44,5,0,0,0,0,0,0
832d5ac2effe4fed83e344c71e25eebd,0,0,1,0,1,0,1,0,42,42,14,0,0,0,0,0,0
bc369dad6bdb4efd90cddf6a96cfe3e4,0,0,1,0,1,0,1,0,42,14,13,0,0,0,0,0,0
66346ae4f59c4476a261b5fd5b968b66,0,0,1,0,1,0,1,0,41,41,13,0,0,0,0,0,0
3cb12bf6456c4ce5ad9e409ca6b154ed,0,0,1,0,1,0,1,0,35,35,2,0,0,0,0,0,0
c625c68b2a5b4c80962e95a45cab9cda,0,0,1,0,1,0,1,0,33,33,4,0,0,0,0,0,0
6ffbb8d026564f6391276581e74a2305,0,0,1,0,1,0,1,0,32,32,0,0,0,0,0,0,0
b5d08820efe547b2bcf93cea8163fa9c,0,0,1,0,1,0,1,0,31,31,1,0,0,0,0,0,0
b34ac9c3a408465884e347fc3bfff30d,0,0,1,0,1,0,1,0,30,30,3,0,0,0,0,0,0
ec096c913aef47a790fe6593efafb6eb,0,0,1,0,1,0,1,0,26,26,4,0,0,0,0,0,0
6400db199b4841e3af11859596d676a2,0,0,1,0,1,0,1,0,26,26,3,0,0,0,0,0,0
c21d70f6f5974ed099992e5dcca64128,0,0,1,0,1,0,1,0,24,12,2,0,0,0,0,0,0
8c34892b1a044e61b6c758e15a4dec6a,0,0,1,0,1,0,1,0,23,23,3,0,0,0,0,0,0
20b074954c51424c9bf87218c7e752c7,0,0,1,0,1,0,1,0,21,21,2,0,0,0,0,0,0
1de7226e0fa34f308a4f48e22f7a08d6,0,0,1,0,1,0,1,0,19,19,14,0,0,0,0,0,0
cb033c3ff23a40f8a81c4595b333c332,0,0,1,0,1,0,1,0,18,18,12,0,0,0,0,0,0
adc33eb734004c68a64b22a5f474186e,0,0,1,0,1,0,1,0,18,18,11,0,0,0,0,0,0
c7569639c0fb4c71b74a523736904e76,0,0,1,0,1,0,1,0,18,18,4,0,0,0,0,0,0
7538a64ab0db4398b27c7b3999fc2b04,0,0,1,0,1,0,1,0,17,17,3,0,0,0,0,0,0
e500acc2b157d843b027b4d5f47cd9cf,0,0,1,0,1,0,1,0,16,16,3,0,0,0,0,0,0
8f91e6cc587248a9a67acf634a2a4b50,0,0,1,0,1,0,1,0,16,16,3,0,0,0,0,0,0
202fcc07aae4471ab014be8a61c96191,0,0,1,0,1,0,1,0,15,15,2,0,0,0,0,0,0
6a896217ff8a4c0fbdf50be9a20c283e,0,0,1,0,1,0,1,0,15,15,1,0,0,0,0,0,0
63688a5f4de84a9abfa4e116292fae98,0,0,1,0,1,0,1,0,14,14,2,0,0,0,0,0,0
8eaaf1f460ff4e7289f753084facd10c,0,0,1,0,1,0,1,0,14,14,0,0,0,0,0,0,0
512673ec84974ddc824f58129a17ec25,0,0,1,0,1,0,1,0,14,14,0,0,0,0,0,0,0
